Years at Experience,"Annual Gross Salary (in €, otherwise specify)",Gender,Country
1,60000,0,Ireland
6,58000,0,Netherlands
20,56967,0,Sweden
7,54000,0,Germany
2,70000,0,Ireland
6,39000,0,Bulgaria
5,36000,0,Romania
3,26000,0,Germany
9,43000,0,Spain
8,75000,0,Germany
5,41411,0,United Kingdom
12,36000,0,Germany
0,26000,0,France
4,40000,0,Spain
6,40000,0,United Kingdom
13,62000,0,Greece
7,30000,0,Czech Republic
0,22680,0,Portugal
10,27600,0,Hungary
5,44000,0,Sweden
10,32400,0,Croatia
4,56000,0,Latvia
10,261546,2,United Kingdom
7,40000,0,Italy
9,77000,0,Germany
0,30819,0,Poland
8,42000,0,Finland
4,500000,0,United Kingdom
5,77570,0,United Kingdom
5,60000,0,Germany
3,42000,0,France
29,65000,0,United Kingdom
4,60000,0,Germany
8,120000,0,France
4,54000,0,Netherlands
5,46860,0,United Kingdom
2,81000,0,Norway
8,75000,0,Germany
12,75000,0,Austria
12,35000,0,Slovenia
7,43000,0,Spain
3,40000,0,Finland
3,73000,0,United Kingdom
1,14134,0,Poland
10,75000,0,Germany
16,210000,0,United Kingdom
10,90000,0,Germany
4,38400,0,Belgium
1,105227,0,Switzerland
8,84000,0,France
2,48000,0,Netherlands
5,55000,0,Germany
13,98000,0,Bulgaria
5,50000,1,Germany
1,22000,0,Italy
10,70000,0,Germany
3,36000,0,Ireland
10,36000,0,Hungary
8,42000,0,Italy
12,115000,0,France
15,72000,1,Germany
5,50000,0,France
2,49000,0,United Kingdom
3.5,30000,0,Estonia
5,48000,0,Cyprus
6,25000,0,Romania
6,42000,0,Serbia
8,57400,0,Netherlands
20,70000,0,Germany
5,53000,0,Germany
9,31000,0,Czech Republic
11,46000,0,Spain
5,50000,0,Sweden
10,45000,0,Romania
12,50000,0,United Kingdom
6,71796,0,Denmark
6,47000,0,France
7,130773,0,United Kingdom
6,103529,0,United Kingdom
6,57000,0,Germany
11,45000,0,Italy
17,70000,0,Germany
5,40000,0,Portugal
10,75000,0,Germany
10,57000,0,Sweden
6,22000,0,Romania
3,30514,0,United Kingdom
7,119875,0,United Kingdom
14,60000,0,Ireland
2,32000,0,Slovenia
17,46860,0,United Kingdom
4,132000,0,Germany
20,100000,0,Ireland
2,22000,0,Czech Republic
8,141671,0,United Kingdom
9,87500,0,Denmark
17,90000,0,Netherlands
10,65000,0,Germany
1,30514,0,United Kingdom
4,27440,0,Portugal
3,30000,0,Spain
10,42000,0,Bulgaria
4,109100,0,United Kingdom
10,25000,0,Spain
5,43200,0,Netherlands
11,98080,0,United Kingdom
1,53000,0,Norway
6,87689,0,Switzerland
0.5,25008,0,Germany
5,550000,0,Germany
8,54000,0,Netherlands
1.5,56697,0,Norway
10,43700,0,Bulgaria
4,48000,0,Netherlands
3,22000,0,Portugal
5,60000,0,Germany
8,49000,0,Bulgaria
13,180000,0,Ireland
12,92000,0,Switzerland
8,63000,0,Luxembourg
2,40000,0,Germany
0.75,21000,0,Italy
5,36000,0,Finland
20,220000,0,France
5,30000,0,Estonia
10,66000,0,Germany
4,36000,0,Slovenia
10,80000,0,Germany
5,30000,0,Portugal
3.5,40000,0,France
3,32400,0,Netherlands
5,30000,0,United Kingdom
1,38000,0,United Kingdom
2.5,23000,0,Netherlands
4,39500,0,Lithuania
3,50000,0,Finland
15,40000,0,Bulgaria
5,45000,0,Netherlands
7,40000,0,Italy
5,65460,0,United Kingdom
2,50000,0,Ireland
2,19500,0,Portugal
3,54550,0,United Kingdom
12,36000,0,Netherlands
1,28000,0,France
7,26500,0,Italy
6,65000,0,Germany
4,40000,0,Poland
7,48000,0,Ireland
13,30000,0,Italy
1.5,25500,0,United Kingdom
7,109294,0,United Kingdom
12,30400,0,United Kingdom
7,52000,0,Norway
6,48000,0,France
10,50000,0,Czech Republic
15,70000,0,France
5,35000,0,Poland
5,57758,0,United Kingdom
1,27000,0,Belgium
5,25500,0,Spain
10,75000,0,United Kingdom
8,75000,0,Germany
4,44000,0,Lithuania
6,47000,0,France
15,27000,0,Italy
1,18000,0,Slovenia
3,28366,0,United Kingdom
1.5,43638,0,United Kingdom
3,50000,0,Germany
3,40000,0,Germany
9,38000,0,France
2,62662,0,United Kingdom
1.5,64000,0,Germany
4,36600,0,Belgium
14,46000,0,Bulgaria
7,25000,0,Greece
5,90000,0,Switzerland
3,60000,0,United Kingdom
4,21800,0,Italy
6,31000,0,France
12,44000,0,Italy
4,51000,0,Finland
7,60000,0,Italy
4,44000,0,Germany
7,70000,1,Germany
1,30000,0,Belgium
8,45000,0,Poland
2,28000,0,Italy
2,30000,0,France
8,42792,0,France
2.5,44500,0,Netherlands
0,54022,0,Norway
1,63000,0,Germany
5,80000,0,United Kingdom
2,51500,0,Norway
6,53000,0,Romania
4,55000,0,Germany
4,55000,0,Sweden
3,45000,0,Germany
5,50000,0,Ireland
4,30000,0,Belgium
7,50600,0,Germany
5,38142,0,United Kingdom
5,47400,0,Germany
4,30000,0,Netherlands
5,49000,0,Germany
10,45000,0,Germany
6,40630,0,Sweden
1,26000,0,Spain
5,46500,0,Germany
8,46860,0,United Kingdom
10,70000,0,Netherlands
7,21000,0,Italy
3,48000,0,France
3,32500,0,Germany
7,53000,0,Romania
5,60000,0,Germany
9,30000,0,Poland
3,39000,0,Netherlands
0,90000,0,Switzerland
21,135380,0,Denmark
5,37000,0,Belgium
2,13800,0,Croatia
9,22000,0,Latvia
5,45000,0,Spain
1.5,34741,1,United Kingdom
12,48000,0,France
7,50000,0,Poland
2,38000,1,France
3,44000,0,Netherlands
3,31200,0,Netherlands
18,32000,0,Italy
7,65000,0,Netherlands
15,70000,0,Netherlands
12,49000,0,Belgium
12,103529,0,United Kingdom
14,64000,0,France
8,53000,0,Sweden
10,52000,0,Belgium
6,34000,0,Italy
5,70000,0,Germany
13,120000,0,Denmark
18,185000,0,United Kingdom
3,70000,0,Germany
6,30000,0,Portugal
12,850000,0,Sweden
6,48000,0,Ireland
7,21000,0,Portugal
7,53900,0,Estonia
10,50000,0,France
3,44000,0,Germany
5,55000,0,Germany
5,45000,0,France
6,28000,0,Croatia
0,31200,0,Germany
0,61500,0,United Kingdom
8,60000,0,Germany
0,42000,0,Spain
4,32693,0,United Kingdom
8,51250,0,Finland
8,20000,0,Germany
20,39000,0,Ireland
3,32000,0,Ireland
1,27000,0,Ireland
2,42000,0,Spain
10,35680,0,Slovenia
2,22300,0,Italy
10,40000,0,France
4,46800,2,Finland
6,63000,0,France
27,181339,0,United Kingdom
15,47500,0,Lithuania
20,75665,0,Denmark
5,50000,0,United Kingdom
4,17000,0,Romania
3,36000,0,Sweden
5,54000,0,Sweden
5,58000,0,Finland
1,32693,0,United Kingdom
10,57000,0,Finland
3,54275,0,United Kingdom
1,11400,0,Cyprus
5,100000,0,Denmark
5,46000,0,Netherlands
6,21400,0,Poland
7,53000,0,Sweden
0.5,15801,0,United Kingdom
